70 unique phonemes
70 unique phonemes
70 unique phonemes
70 unique phonemes
added and resized 71 phoneme tokens to tokenizer
added and resized 71 phoneme tokens to tokenizer
added and resized 71 phoneme tokens to tokenizer
added and resized 71 phoneme tokens to tokenizer
{'loss': 3.1674, 'grad_norm': 8.157586097717285, 'learning_rate': 2.411282984531392e-05, 'epoch': 0.72}
{'loss': 3.1153, 'grad_norm': 12.119287490844727, 'learning_rate': 2.4264482863208978e-05, 'epoch': 0.73}
{'loss': 3.0639, 'grad_norm': 3.9980292320251465, 'learning_rate': 2.4416135881104035e-05, 'epoch': 0.73}
{'loss': 3.0573, 'grad_norm': 2.7778592109680176, 'learning_rate': 2.4567788898999092e-05, 'epoch': 0.74}
{'loss': 3.0516, 'grad_norm': 6.030960559844971, 'learning_rate': 2.471944191689415e-05, 'epoch': 0.74}
{'loss': 3.0228, 'grad_norm': 3.116037368774414, 'learning_rate': 2.4871094934789206e-05, 'epoch': 0.75}
{'loss': 3.0316, 'grad_norm': 8.916213035583496, 'learning_rate': 2.502274795268426e-05, 'epoch': 0.75}
{'loss': 2.9941, 'grad_norm': 2.214022159576416, 'learning_rate': 2.5174400970579314e-05, 'epoch': 0.76}
{'loss': 2.9834, 'grad_norm': 9.175472259521484, 'learning_rate': 2.5326053988474374e-05, 'epoch': 0.76}
{'loss': 2.9601, 'grad_norm': 3.141763925552368, 'learning_rate': 2.5477707006369428e-05, 'epoch': 0.76}
{'loss': 2.9761, 'grad_norm': 3.097742795944214, 'learning_rate': 2.562936002426448e-05, 'epoch': 0.77}
{'loss': 2.9295, 'grad_norm': 3.877964496612549, 'learning_rate': 2.5781013042159542e-05, 'epoch': 0.77}
{'loss': 2.9166, 'grad_norm': 2.371466875076294, 'learning_rate': 2.5932666060054596e-05, 'epoch': 0.78}
{'loss': 2.9167, 'grad_norm': 3.30303692817688, 'learning_rate': 2.6084319077949653e-05, 'epoch': 0.78}
{'loss': 2.9022, 'grad_norm': 17.036346435546875, 'learning_rate': 2.6235972095844706e-05, 'epoch': 0.79}
{'loss': 2.8818, 'grad_norm': 2.581408977508545, 'learning_rate': 2.6387625113739767e-05, 'epoch': 0.79}
{'loss': 2.8422, 'grad_norm': 60.260459899902344, 'learning_rate': 2.653927813163482e-05, 'epoch': 0.8}
{'loss': 2.8378, 'grad_norm': 2.7612438201904297, 'learning_rate': 2.6690931149529874e-05, 'epoch': 0.8}
{'loss': 2.8341, 'grad_norm': 5.178414344787598, 'learning_rate': 2.6842584167424935e-05, 'epoch': 0.81}
{'loss': 2.8221, 'grad_norm': 3.243961811065674, 'learning_rate': 2.6994237185319988e-05, 'epoch': 0.81}
{'loss': 2.8178, 'grad_norm': 2.1418819427490234, 'learning_rate': 2.7145890203215045e-05, 'epoch': 0.81}
{'loss': 2.7734, 'grad_norm': 2.945061445236206, 'learning_rate': 2.72975432211101e-05, 'epoch': 0.82}
{'loss': 2.7974, 'grad_norm': 2.6366398334503174, 'learning_rate': 2.744919623900516e-05, 'epoch': 0.82}
{'loss': 2.7921, 'grad_norm': 3.020739793777466, 'learning_rate': 2.7600849256900213e-05, 'epoch': 0.83}
{'loss': 2.7594, 'grad_norm': 2.2677183151245117, 'learning_rate': 2.7752502274795274e-05, 'epoch': 0.83}
{'loss': 2.729, 'grad_norm': 2.3795619010925293, 'learning_rate': 2.7904155292690327e-05, 'epoch': 0.84}
{'loss': 2.7649, 'grad_norm': 5.047196388244629, 'learning_rate': 2.805580831058538e-05, 'epoch': 0.84}
{'loss': 2.7322, 'grad_norm': 1.863673448562622, 'learning_rate': 2.8207461328480438e-05, 'epoch': 0.85}
{'loss': 2.6873, 'grad_norm': 2.174316167831421, 'learning_rate': 2.835911434637549e-05, 'epoch': 0.85}
{'loss': 2.7071, 'grad_norm': 2.04599666595459, 'learning_rate': 2.8510767364270552e-05, 'epoch': 0.86}
{'loss': 2.6887, 'grad_norm': 2.292638063430786, 'learning_rate': 2.8662420382165606e-05, 'epoch': 0.86}
{'loss': 2.6958, 'grad_norm': 2.198892593383789, 'learning_rate': 2.8814073400060666e-05, 'epoch': 0.86}
{'loss': 2.6541, 'grad_norm': 2.035229444503784, 'learning_rate': 2.896572641795572e-05, 'epoch': 0.87}
{'loss': 2.6272, 'grad_norm': 2.390178680419922, 'learning_rate': 2.9117379435850774e-05, 'epoch': 0.87}
{'loss': 2.6268, 'grad_norm': 2.190739870071411, 'learning_rate': 2.926903245374583e-05, 'epoch': 0.88}
{'loss': 2.6071, 'grad_norm': 2.5038130283355713, 'learning_rate': 2.9420685471640884e-05, 'epoch': 0.88}
{'loss': 2.6052, 'grad_norm': 1.900539755821228, 'learning_rate': 2.9572338489535945e-05, 'epoch': 0.89}
{'loss': 2.5901, 'grad_norm': 2.4210124015808105, 'learning_rate': 2.9723991507431e-05, 'epoch': 0.89}
{'loss': 2.5861, 'grad_norm': 2.133653402328491, 'learning_rate': 2.987564452532606e-05, 'epoch': 0.9}
{'loss': 2.5767, 'grad_norm': 2.124715566635132, 'learning_rate': 3.0027297543221113e-05, 'epoch': 0.9}
{'loss': 2.5568, 'grad_norm': 1.8316911458969116, 'learning_rate': 3.0178950561116166e-05, 'epoch': 0.91}
{'loss': 2.5331, 'grad_norm': 1.869348406791687, 'learning_rate': 3.0330603579011223e-05, 'epoch': 0.91}
pred : or don't in the prosecution of harris a serious person is opened his run by a pressing the nerves the nostrils the most innocent and harmonious of the spectators
label: ardent in the prosecution of heresy cyril auspiciously opened his reign by oppressing the novatians the most innocent and harmless of the sectaries
pred : without any legal sentence without any real mind at the tribunal or court the den of dulcie said i should assist to the attack of the senators
label: without any legal sentence without any royal mandate the patriarch at the dawn of day led a seditious multitude to the attack of the synagogues
pred : such cries would have deserted the enemy said sir rogeron of the magistrate but in this process we saw straight rather an instant we confounded with the gallant and algos and roger was impressed by the loss of a wealth and in distress a scullery no no
label: such crimes would have deserved the animadversion of the magistrate but in this promiscuous outrage the innocent were confounded with the guilty and alexandria was impoverished by the loss of a wealthy and industrious colony
pred : or don't in the prosecution of harris a serious person is opened his run by a pressing the nerves the nostrils the most innocent and harmonious of the spectators
label: ardent in the prosecution of heresy cyril auspiciously opened his reign by oppressing the novatians the most innocent and harmless of the sectaries
pred : without any legal sentence without any real mind at the tribunal or court the den of dulcie said i should assist to the attack of the senators
label: without any legal sentence without any royal mandate the patriarch at the dawn of day led a seditious multitude to the attack of the synagogues
pred : such cries would have deserted the enemy said sir rogeron of the magistrate but in this process we saw straight rather an instant we confounded with the gallant and algos and roger was impressed by the loss of a wealth and in distress a scullery no no
label: such crimes would have deserved the animadversion of the magistrate but in this promiscuous outrage the innocent were confounded with the guilty and alexandria was impoverished by the loss of a wealthy and industrious colony
pred : or don't in the prosecution of harris a serious person is opened his run by a pressing the nerves the nostrils the most innocent and harmonious of the spectators
label: ardent in the prosecution of heresy cyril auspiciously opened his reign by oppressing the novatians the most innocent and harmless of the sectaries
pred : without any legal sentence without any real mind at the tribunal or court the den of dulcie said i should assist to the attack of the senators
label: without any legal sentence without any royal mandate the patriarch at the dawn of day led a seditious multitude to the attack of the synagogues
pred : such cries would have deserted the enemy said sir rogeron of the magistrate but in this process we saw straight rather an instant we confounded with the gallant and algos and roger was impressed by the loss of a wealth and in distress a scullery no no
label: such crimes would have deserved the animadversion of the magistrate but in this promiscuous outrage the innocent were confounded with the guilty and alexandria was impoverished by the loss of a wealthy and industrious colony
pred : or don't in the prosecution of harris a serious person is opened his run by a pressing the nerves the nostrils the most innocent and harmonious of the spectators
label: ardent in the prosecution of heresy cyril auspiciously opened his reign by oppressing the novatians the most innocent and harmless of the sectaries
pred : without any legal sentence without any real mind at the tribunal or court the den of dulcie said i should assist to the attack of the senators
label: without any legal sentence without any royal mandate the patriarch at the dawn of day led a seditious multitude to the attack of the synagogues
